table_name,row,osc_1,osc_2,osc_3,osc_4
Harmonic Chords,24,7.02,9.68,16.71,34.88
Harmonic Chords,25,7.02,12,17.51,24
Harmonic Chords,26,7.02,12,19.02,25.05
Harmonic Chords,27,7.02,12,20.41,26.04
Harmonic Chords,28,7.02,12,21.06,26.98
Harmonic Chords,29,7.02,12,21.69,27.86
Harmonic Chords,30,7.02,12,22.88,28.71
Harmonic Chords,31,7.02,12,24,29.51
Harmonic Chords,32,7.02,12,25.05,31.02
Harmonic Chords,33,7.02,12,26.04,32.41
Harmonic Chords,34,7.02,12,26.98,33.06
Harmonic Chords,35,7.02,12,27.86,33.69
Harmonic Chords,36,12,19.02,28.71,34.88
Harmonic Chords,37,12,20.41,29.51,36
Harmonic Chords,38,12,21.06,31.02,37.05
Harmonic Chords,39,12,21.69,32.41,38.04
Harmonic Chords,40,12,22.88,33.06,38.98
Harmonic Chords,41,12,24,33.69,39.86
Harmonic Chords,42,12,25.05,34.88,40.71
Harmonic Chords,43,12,26.04,24,41.51
Harmonic Chords,44,12,26.98,25.05,43.02
Harmonic Chords,45,12,27.86,26.04,44.41
Harmonic Chords,46,15.86,28.71,26.98,45.06
Harmonic Chords,47,15.86,29.51,27.86,45.69
Harmonic Chords,48,15.86,24,28.71,36
Harmonic Chords,49,15.86,25.05,29.51,37.05
Harmonic Chords,50,15.86,26.04,31.02,38.04
Harmonic Chords,51,15.86,26.98,32.41,38.98
Harmonic Chords,52,15.86,27.86,33.06,39.86
Harmonic Chords,53,19.02,28.71,33.69,40.71
Harmonic Chords,54,19.02,29.51,34.88,41.51
Harmonic Chords,55,19.02,31.02,36,43.02
Harmonic Chords,56,19.02,32.41,37.05,44.41
Harmonic Chords,57,19.02,33.06,38.04,45.06
Harmonic Chords,58,19.02,33.69,38.98,45.69
Harmonic Chords,59,19.02,34.88,39.86,46.88
Harmonic Chords,60,19.02,36,40.71,48
Harmonic Chords,61,19.02,37.05,41.51,49.05
Harmonic Chords,62,19.02,38.04,43.02,49.05
Harmonic Chords,63,19.02,38.98,44.41,49.05
Harmonic Chords,64,19.02,39.86,45.06,49.05
Stradella Chords,1,0,4,7,NA
Stradella Chords,2,0,3,7,NA
Stradella Chords,3,0,4,10,NA
Stradella Chords,4,0,3,-3,NA
Stradella Chords,5,7,11,14,NA
Stradella Chords,6,7,10,14,NA
Stradella Chords,7,7,11,17,NA
Stradella Chords,8,7,10,4,NA
Stradella Chords,9,2,6,9,NA
Stradella Chords,10,2,5,9,NA
Stradella Chords,11,2,6,12,NA
Stradella Chords,12,2,5,-1,NA
Stradella Chords,13,9,13,16,NA
Stradella Chords,14,9,12,16,NA
Stradella Chords,15,9,13,19,NA
Stradella Chords,16,9,12,6,NA
Stradella Chords,17,4,8,11,NA
Stradella Chords,18,4,7,11,NA
Stradella Chords,19,4,8,14,NA
Stradella Chords,20,4,7,1,NA
Stradella Chords,21,11,15,18,NA
Stradella Chords,22,11,14,18,NA
Stradella Chords,23,11,15,21,NA
Stradella Chords,24,11,14,8,NA
Stradella Chords,25,6,10,13,NA
Stradella Chords,26,6,9,13,NA
Stradella Chords,27,6,10,16,NA
Stradella Chords,28,6,9,3,NA
Stradella Chords,29,1,5,8,NA
Stradella Chords,30,1,4,8,NA
Stradella Chords,31,1,5,11,NA
Stradella Chords,32,1,4,-2,NA
Stradella Chords,33,8,12,15,NA
Stradella Chords,34,8,11,15,NA
Stradella Chords,35,8,12,18,NA
Stradella Chords,36,8,11,5,NA
Stradella Chords,37,3,7,10,NA
Stradella Chords,38,3,6,10,NA
Stradella Chords,39,3,7,13,NA
Stradella Chords,40,0,6,3,NA
Stradella Chords,41,10,14,17,NA
Stradella Chords,42,10,13,17,NA
Stradella Chords,43,10,14,20,NA
Stradella Chords,44,10,13,7,NA
Stradella Chords,45,5,9,12,NA
Stradella Chords,46,5,8,12,NA
Stradella Chords,47,5,9,15,NA
Stradella Chords,48,5,8,2,NA
Stradella Chords,49,12,16,19,NA
Stradella Chords,50,12,15,19,NA
Stradella Chords,51,12,16,22,NA
Stradella Chords,52,12,15,9,NA
Stradella Chords,53,7,11,14,NA
Stradella Chords,54,7,10,14,NA
Stradella Chords,55,7,11,17,NA
Stradella Chords,56,7,10,4,NA
Stradella Chords,57,2,6,9,NA
Stradella Chords,58,2,5,9,NA
Stradella Chords,59,2,6,12,NA
Stradella Chords,60,2,5,-1,NA
Stradella Chords,61,9,13,16,NA
Stradella Chords,62,9,12,16,NA
Stradella Chords,63,9,13,19,NA
Stradella Chords,64,9,12,6,NA
